CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,average_monthly_charges,customer_lifetime_value
26,50,Male,Two year,62.09,5237.55,No,No,69,Yes,Credit card,No,75.90652173913044,4284.21
27,29,Male,Two year,92.71,1762.81,No,DSL,7,Yes,UPI,No,251.82999999999998,648.9699999999999
28,39,Female,Month-to-month,30.73,5601.89,Yes,DSL,44,Yes,Credit card,No,127.31568181818183,1352.1200000000001
29,61,Male,Two year,40.6,2547.26,Yes,DSL,23,Yes,Cash,No,110.7504347826087,933.8000000000001
30,42,Male,Two year,34.76,6996.75,Yes,No,2,Yes,Debit card,No,3498.375,69.52
31,66,Male,Month-to-month,99.69,2761.62,No,Fiber optic,37,Yes,Debit card,Yes,74.63837837837838,3688.5299999999997
32,44,Male,One year,26.29,4995.6,No,Fiber optic,69,No,Cash,No,72.4,1814.01
33,59,Female,One year,88.66,2358.83,Yes,DSL,20,Yes,UPI,No,117.94149999999999,1773.1999999999998
34,45,Male,Two year,56.65,7346.05,Yes,Fiber optic,44,No,Debit card,No,166.95568181818183,2492.6
35,33,Female,One year,95.58,6269.87,Yes,No,70,Yes,Credit card,Yes,89.56957142857142,6690.599999999999
36,32,Female,One year,116.44,2022.09,No,DSL,51,No,Cash,No,39.648823529411764,5938.44
37,64,Male,One year,31.45,7595.49,No,Fiber optic,31,No,Debit card,No,245.0158064516129,974.9499999999999
38,68,Male,One year,51.44,2921.54,Yes,DSL,41,Yes,Credit card,No,71.2570731707317,2109.04
39,61,Male,Two year,101.01,5249.73,Yes,DSL,58,No,Cash,No,90.51258620689654,5858.58
40,69,Male,One year,46.62,5968.54,Yes,No,5,Yes,Cash,Yes,1193.708,233.1
41,20,Female,One year,41.51,280.93,Yes,No,33,No,Cash,No,8.513030303030304,1369.83
42,54,Female,Month-to-month,102.54,7675.84,No,Fiber optic,43,Yes,UPI,No,178.50790697674418,4409.22
43,68,Female,Two year,118.71,2821.09,Yes,No,19,No,Cash,No,148.47842105263157,2255.49
44,24,Male,Month-to-month,75.69,1599.25,Yes,DSL,32,No,Internet Banking,Yes,49.9765625,2422.08
45,38,Female,Month-to-month,47.8,6820.59,No,No,3,Yes,Internet Banking,No,2273.53,143.39999999999998
46,26,Male,Two year,59.86,5652.9,Yes,Fiber optic,1,No,Cash,Yes,5652.9,59.86
47,56,Male,One year,37.01,785.27,Yes,Fiber optic,41,Yes,Debit card,No,19.152926829268292,1517.4099999999999
48,35,Male,Month-to-month,96.19,1024.65,Yes,Fiber optic,48,Yes,Internet Banking,No,21.346875,4617.12
49,21,Male,Two year,97.35,5750.02,Yes,No,39,No,Credit card,No,147.43641025641026,3796.6499999999996
50,42,Male,One year,107.51,690.79,Yes,No,5,No,Credit card,Yes,138.158,537.5500000000001
51,31,Female,Two year,22.66,7345.69,Yes,No,11,No,Debit card,No,667.79,249.26
52,67,Female,Month-to-month,76.2,5958.17,No,No,22,Yes,Credit card,Yes,270.8259090909091,1676.4
53,26,Male,One year,41.43,2750.39,Yes,No,64,Yes,Debit card,No,42.97484375,2651.52
54,43,Female,One year,54.09,2967.22,No,Fiber optic,12,Yes,Credit card,No,247.26833333333332,649.08
55,19,Male,Two year,98.5,4101.32,No,Fiber optic,53,Yes,Cash,No,77.38339622641509,5220.5
56,37,Male,One year,39.2,2951.66,No,No,55,No,Credit card,Yes,53.66654545454545,2156.0
57,45,Male,Month-to-month,83.83,6289.4,No,DSL,53,Yes,Cash,No,118.66792452830188,4442.99
58,64,Female,Month-to-month,85.46,7800.42,Yes,Fiber optic,21,Yes,Credit card,No,371.4485714285714,1794.6599999999999
59,24,Male,Month-to-month,115.41,4717.72,Yes,DSL,19,No,Credit card,No,248.30105263157895,2192.79
60,61,Male,Two year,97.52,3623.69,Yes,DSL,69,No,Credit card,No,52.51724637681159,6728.88
61,25,Female,One year,100.36,1859.92,Yes,Fiber optic,66,No,Cash,Yes,28.180606060606063,6623.76
62,64,Female,One year,73.16,5262.12,No,DSL,59,Yes,Credit card,No,89.18847457627119,4316.44
63,52,Female,One year,38.68,5516.06,No,DSL,49,No,Credit card,No,112.5726530612245,1895.32
64,31,Male,Month-to-month,62.56,5513.01,No,Fiber optic,59,No,UPI,No,93.44084745762713,3691.04
65,34,Male,One year,74.95,313.18,Yes,Fiber optic,23,Yes,Cash,No,13.616521739130436,1723.8500000000001
66,53,Female,Month-to-month,87.84,7203.06,No,No,3,Yes,Internet Banking,No,2401.02,263.52
67,67,Male,One year,80.77,2771.04,Yes,Fiber optic,56,Yes,Debit card,No,49.48285714285714,4523.12
68,57,Female,Month-to-month,59.4,5978.91,No,DSL,58,Yes,UPI,Yes,103.08465517241379,3445.2
69,21,Female,One year,46.53,6102.47,Yes,Fiber optic,62,No,Credit card,Yes,98.42693548387098,2884.86
70,19,Male,Two year,36.82,5239.38,No,No,18,Yes,Internet Banking,No,291.07666666666665,662.76
71,23,Male,Two year,89.38,3219.45,No,Fiber optic,61,No,Internet Banking,No,52.777868852459015,5452.179999999999
72,59,Female,Month-to-month,84.54,4906.24,Yes,DSL,37,No,Credit card,Yes,132.60108108108108,3127.98
73,21,Female,Month-to-month,88.74,417.57,No,Fiber optic,54,Yes,Credit card,Yes,7.732777777777778,4791.96
74,46,Female,One year,57.25,6118.98,No,DSL,65,Yes,UPI,No,94.13815384615384,3721.25
75,35,Female,One year,46.24,886.75,Yes,Fiber optic,14,Yes,Cash,No,63.339285714285715,647.36
76,43,Male,Two year,95.97,3234.33,No,No,5,Yes,UPI,No,646.866,479.85
77,61,Female,One year,97.36,918.59,No,No,62,No,Cash,No,14.815967741935484,6036.32
78,51,Female,Month-to-month,65.56,6712.89,No,Fiber optic,1,Yes,Internet Banking,Yes,6712.89,65.56
79,27,Female,Month-to-month,81.19,4447.39,No,DSL,63,Yes,Debit card,No,70.59349206349206,5114.97
80,53,Male,Month-to-month,57.35,5558.55,Yes,No,67,No,Credit card,No,82.9634328358209,3842.4500000000003
81,31,Male,Month-to-month,90.19,5492.4,Yes,DSL,20,No,UPI,No,274.62,1803.8
82,48,Female,Month-to-month,103.57,6748.69,No,Fiber optic,43,No,Internet Banking,No,156.94627906976743,4453.509999999999
83,65,Male,Two year,88.82,1147.3,Yes,No,42,Yes,UPI,No,27.316666666666666,3730.4399999999996
84,32,Male,Two year,71.26,5311.85,No,No,69,No,Cash,No,76.98333333333333,4916.9400000000005
85,25,Male,Month-to-month,65.87,4643.56,Yes,DSL,39,No,Credit card,No,119.06564102564104,2568.9300000000003
86,31,Female,One year,84.23,344.09,No,No,62,No,Cash,No,5.549838709677419,5222.26
87,40,Female,Month-to-month,87.98,1691.24,No,DSL,48,Yes,Cash,No,35.23416666666667,4223.04
88,57,Male,Two year,75.87,2213.82,Yes,DSL,6,No,Cash,No,368.97,455.22
89,38,Female,Month-to-month,82.49,673.2,No,Fiber optic,42,Yes,Internet Banking,No,16.02857142857143,3464.58
90,33,Female,Two year,29.66,2902.29,No,DSL,58,No,Credit card,No,50.039482758620686,1720.28
91,62,Male,Two year,115.18,314.9,No,No,43,No,Debit card,Yes,7.323255813953488,4952.740000000001
92,35,Male,Month-to-month,99.08,4470.15,No,DSL,10,No,UPI,No,447.015,990.8
93,64,Female,Month-to-month,57.39,1770.86,Yes,No,39,No,Cash,No,45.406666666666666,2238.21
94,41,Male,One year,76.28,2367.32,Yes,DSL,13,No,Credit card,No,182.10153846153847,991.64
95,43,Female,Two year,24.73,7292.73,Yes,Fiber optic,39,No,UPI,No,186.9930769230769,964.47
96,42,Female,One year,24.12,4072.25,Yes,Fiber optic,11,Yes,Credit card,Yes,370.20454545454544,265.32
97,62,Male,Month-to-month,45.08,2225.21,No,DSL,16,Yes,UPI,No,139.075625,721.28
98,58,Female,Two year,88.97,4827.85,No,DSL,33,Yes,Credit card,No,146.29848484848486,2936.0099999999998
99,46,Female,One year,105.21,1693.2,No,DSL,60,No,Debit card,No,28.220000000000002,6312.599999999999
100,32,Male,One year,75.92,687.73,No,Fiber optic,59,Yes,Credit card,Yes,11.656440677966103,4479.28
101,62,Male,One year,73.21,265.16,Yes,DSL,51,No,Credit card,No,5.199215686274511,3733.7099999999996
102,18,Male,Month-to-month,60.23,7617.08,Yes,DSL,15,Yes,Cash,No,507.80533333333335,903.4499999999999
103,42,Female,Month-to-month,36.16,5824.43,Yes,No,43,No,Cash,No,135.45186046511628,1554.8799999999999
104,24,Male,Month-to-month,31.84,6419.59,No,Fiber optic,27,Yes,Cash,Yes,237.7625925925926,859.68
105,26,Male,Two year,96.07,7849.25,No,Fiber optic,56,No,Credit card,No,140.16517857142858,5379.92
106,41,Male,Month-to-month,112.75,7459.87,No,DSL,60,No,Debit card,No,124.33116666666666,6765.0
107,18,Male,Two year,65.83,5921.61,No,DSL,70,Yes,UPI,No,84.59442857142857,4608.099999999999
108,61,Female,One year,85.94,5582.5,Yes,No,47,No,Cash,Yes,118.77659574468085,4039.18
109,25,Female,One year,111.45,2761.11,Yes,DSL,8,Yes,Internet Banking,No,345.13875,891.6
110,41,Male,Month-to-month,29.01,921.74,Yes,Fiber optic,63,Yes,Credit card,Yes,14.63079365079365,1827.63
111,28,Female,One year,97.05,4632.41,No,No,7,Yes,Debit card,No,661.7728571428571,679.35
112,68,Male,Month-to-month,81.68,4652.4,Yes,Fiber optic,2,Yes,Debit card,No,2326.2,163.36
113,34,Male,Two year,79.86,7622.67,No,DSL,17,No,Cash,No,448.39235294117645,1357.62
114,25,Female,One year,49.25,3596.31,Yes,No,4,Yes,Cash,No,899.0775,197.0
115,52,Female,Month-to-month,88.39,5557.38,Yes,Fiber optic,26,No,Internet Banking,No,213.7453846153846,2298.14
116,52,Male,One year,99.48,4642.27,No,Fiber optic,69,No,Internet Banking,No,67.27927536231884,6864.12
117,50,Male,One year,31.29,1496.41,No,Fiber optic,5,No,Cash,No,299.28200000000004,156.45
118,22,Female,Month-to-month,73.35,4777.31,No,DSL,5,Yes,UPI,No,955.4620000000001,366.75
119,59,Male,One year,30.13,4366.92,Yes,DSL,69,No,Cash,No,63.288695652173914,2078.97
120,56,Female,One year,107.26,4001.86,Yes,DSL,3,No,Cash,No,1333.9533333333334,321.78000000000003
121,58,Male,One year,70.76,4156.04,Yes,DSL,38,Yes,Debit card,No,109.36947368421052,2688.88
122,45,Male,One year,100.8,1395.5,Yes,Fiber optic,1,No,Cash,No,1395.5,100.8
123,24,Female,Two year,56.81,3761.47,No,No,8,No,Cash,No,470.18375,454.48
124,26,Female,One year,32.51,4884.66,Yes,DSL,13,No,Cash,No,375.7430769230769,422.63
125,25,Female,One year,24.15,3966.65,No,No,70,No,UPI,No,56.666428571428575,1690.5
126,29,Female,Month-to-month,48.15,3960.62,Yes,Fiber optic,50,No,Debit card,No,79.2124,2407.5
127,51,Female,Two year,44.42,712.39,No,DSL,8,Yes,Credit card,Yes,89.04875,355.36
128,50,Female,Month-to-month,76.04,1607.12,No,Fiber optic,30,Yes,Credit card,Yes,53.57066666666666,2281.2000000000003
129,65,Female,Month-to-month,22.17,2635.68,Yes,DSL,40,Yes,Credit card,No,65.892,886.8000000000001
130,40,Male,Month-to-month,72.06,3412.84,Yes,DSL,33,Yes,Credit card,No,103.41939393939394,2377.98
131,41,Male,Two year,59.18,4792.11,No,No,52,Yes,Debit card,No,92.15596153846153,3077.36
132,54,Male,Month-to-month,77.71,6920.43,Yes,Fiber optic,33,No,Cash,No,209.71,2564.43
133,52,Female,Month-to-month,90.24,1357.4,No,Fiber optic,37,Yes,Credit card,No,36.68648648648649,3338.8799999999997
134,61,Female,Month-to-month,83.41,219.2,Yes,Fiber optic,70,No,Cash,Yes,3.1314285714285712,5838.7
135,57,Female,One year,118.46,3648.97,Yes,No,69,No,Credit card,No,52.88362318840579,8173.74
136,39,Male,Month-to-month,33.83,3513.61,Yes,No,4,Yes,UPI,No,878.4025,135.32
137,44,Female,Two year,62.97,4460.02,Yes,Fiber optic,60,Yes,Cash,No,74.33366666666667,3778.2
138,52,Female,Two year,62.48,6682.45,Yes,Fiber optic,31,No,Debit card,Yes,215.56290322580645,1936.8799999999999
139,18,Male,One year,61.71,6438.65,No,DSL,14,No,UPI,No,459.9035714285714,863.94
140,52,Female,Two year,86.38,890.34,Yes,DSL,60,Yes,UPI,No,14.839,5182.799999999999
141,54,Male,Two year,68.98,7478.56,No,No,68,Yes,Debit card,No,109.97882352941177,4690.64
142,64,Male,One year,71.74,972.27,No,DSL,26,No,UPI,No,37.394999999999996,1865.2399999999998
143,31,Female,Month-to-month,63.24,5113.11,No,Fiber optic,24,No,Cash,No,213.04625,1517.76
144,20,Female,One year,119.17,5412.01,Yes,Fiber optic,56,Yes,Internet Banking,No,96.64303571428572,6673.52
145,18,Female,Month-to-month,112.76,5471.03,No,DSL,9,Yes,Internet Banking,No,607.8922222222222,1014.84
146,22,Male,Month-to-month,50.77,2196.27,No,DSL,35,Yes,Credit card,No,62.750571428571426,1776.95
147,43,Male,Two year,31.16,2709.73,No,No,24,No,Credit card,No,112.90541666666667,747.84
148,31,Male,One year,103.98,4434.55,No,DSL,31,No,Cash,No,143.05,3223.38
149,56,Female,Two year,119.72,1676.74,No,No,66,No,Debit card,No,25.405151515151516,7901.5199999999995
150,44,Female,Two year,49.26,260.45,No,DSL,66,No,Cash,No,3.946212121212121,3251.16
151,26,Female,Month-to-month,55.78,4540.94,Yes,DSL,41,Yes,Credit card,No,110.75463414634146,2286.98
152,32,Female,Two year,114.16,3775.7,No,DSL,36,Yes,UPI,No,104.88055555555555,4109.76
153,32,Male,One year,91.11,5288.18,No,DSL,34,No,Cash,No,155.53470588235294,3097.74
154,43,Male,Two year,49.56,1258.93,Yes,Fiber optic,39,No,Cash,No,32.28025641025641,1932.8400000000001
155,59,Male,Two year,78.1,6743.31,No,Fiber optic,23,Yes,Debit card,No,293.18739130434784,1796.3
156,30,Male,Month-to-month,114.42,1255.15,Yes,Fiber optic,44,No,Credit card,Yes,28.526136363636365,5034.4800000000005
157,68,Female,One year,101.18,7141.61,Yes,DSL,70,Yes,Cash,No,102.023,7082.6
158,49,Female,Two year,94.18,3651.22,No,No,58,Yes,UPI,No,62.952068965517235,5462.4400000000005
159,56,Female,Month-to-month,93.7,4443.46,No,DSL,59,No,UPI,No,75.3128813559322,5528.3
160,66,Male,Two year,37.8,7182.99,Yes,Fiber optic,26,No,Internet Banking,Yes,276.26884615384614,982.8
161,69,Male,One year,102.47,2469.31,Yes,No,22,Yes,Credit card,No,112.24136363636363,2254.34
162,49,Female,Two year,47.61,1536.43,Yes,No,40,Yes,UPI,Yes,38.41075,1904.4
163,21,Female,Two year,113.04,3621.44,Yes,Fiber optic,11,No,Debit card,Yes,329.2218181818182,1243.44
164,47,Male,Month-to-month,56.46,2030.5,No,DSL,9,No,Credit card,No,225.61111111111111,508.14
165,54,Female,Two year,105.77,4269.97,Yes,No,12,No,UPI,No,355.8308333333334,1269.24
166,40,Male,Month-to-month,46.62,2274.54,Yes,No,26,Yes,Cash,No,87.48230769230769,1212.12
167,56,Male,One year,71.45,6929.47,Yes,Fiber optic,38,No,Credit card,No,182.35447368421055,2715.1
168,62,Male,Two year,30.69,4897.86,No,No,3,Yes,UPI,No,1632.62,92.07000000000001
169,32,Female,One year,86.01,101.9,Yes,No,15,Yes,Cash,No,6.793333333333334,1290.15
170,60,Female,One year,103.61,6463.24,Yes,No,47,No,Internet Banking,Yes,137.51574468085107,4869.67
171,46,Male,Two year,91.84,2708.68,No,DSL,5,Yes,Credit card,No,541.736,459.20000000000005
172,53,Female,Month-to-month,72.33,2629.64,No,DSL,54,No,Credit card,Yes,48.697037037037035,3905.8199999999997
173,30,Male,One year,24.51,3126.2,Yes,Fiber optic,24,No,UPI,Yes,130.25833333333333,588.24
174,49,Male,One year,113.34,5079.07,Yes,DSL,11,No,Internet Banking,No,461.7336363636363,1246.74
175,24,Male,Two year,90.55,3592.28,Yes,No,33,No,Debit card,No,108.8569696969697,2988.15
176,68,Male,Two year,94.59,5066.22,No,DSL,57,No,UPI,No,88.88105263157895,5391.63
177,39,Female,Two year,99.47,1259.57,No,No,52,Yes,UPI,No,24.2225,5172.44
178,45,Male,Two year,94.77,7764.3,Yes,No,64,No,Debit card,Yes,121.3171875,6065.28
179,19,Male,Two year,64.11,5863.89,Yes,DSL,43,Yes,Debit card,No,136.36953488372095,2756.73
180,59,Female,Two year,93.36,2076.64,Yes,DSL,44,No,Debit card,No,47.196363636363635,4107.84
181,62,Male,Month-to-month,82.5,5820.94,No,DSL,36,No,Debit card,No,161.69277777777776,2970.0
182,23,Male,One year,105.4,4642.7,Yes,DSL,12,No,Debit card,No,386.89166666666665,1264.8000000000002
183,45,Female,Month-to-month,100.25,962.59,Yes,Fiber optic,56,No,Cash,Yes,17.189107142857143,5614.0
184,45,Female,Month-to-month,24.14,1507.75,No,DSL,3,Yes,Cash,Yes,502.5833333333333,72.42
185,61,Female,Two year,57.89,426.33,Yes,Fiber optic,50,No,Debit card,No,8.5266,2894.5
186,61,Male,One year,23.47,6492.98,No,No,29,No,Internet Banking,Yes,223.8958620689655,680.63
187,37,Female,Month-to-month,30.21,4458.47,No,Fiber optic,16,No,Internet Banking,No,278.654375,483.36
188,47,Female,Two year,80.14,2602.31,Yes,No,40,Yes,Debit card,No,65.05775,3205.6
189,28,Male,Two year,107.38,1098.12,No,Fiber optic,27,No,Cash,No,40.67111111111111,2899.2599999999998
190,45,Male,One year,31.98,3923.96,No,Fiber optic,70,Yes,Internet Banking,Yes,56.05657142857143,2238.6
191,42,Male,Month-to-month,65.11,4249.56,Yes,No,42,No,Cash,No,101.18,2734.62
192,56,Male,Month-to-month,111.09,5645.39,No,Fiber optic,57,No,UPI,No,99.04192982456141,6332.13
193,50,Male,Month-to-month,101.43,7762.5,No,No,10,No,Cash,Yes,776.25,1014.3000000000001
194,18,Female,Two year,71.97,3536.07,Yes,DSL,38,No,Debit card,No,93.05447368421054,2734.86
195,44,Female,One year,97.16,3307.67,Yes,No,8,No,Credit card,No,413.45875,777.28
196,69,Female,One year,72.27,3022.45,Yes,Fiber optic,18,No,Debit card,No,167.9138888888889,1300.86
197,30,Male,Month-to-month,35.81,6632.7,Yes,DSL,17,No,UPI,Yes,390.15882352941173,608.77
198,58,Male,Two year,32.47,1334.91,Yes,Fiber optic,58,Yes,Cash,Yes,23.015689655172416,1883.26
199,20,Male,Month-to-month,38.84,2816.12,No,DSL,66,No,Internet Banking,No,42.668484848484844,2563.44
200,56,Female,One year,55.09,5827.27,No,No,44,No,Debit card,No,132.43795454545455,2423.96
201,23,Female,Two year,113.05,223.99,No,DSL,9,Yes,Internet Banking,No,24.887777777777778,1017.4499999999999
202,25,Male,Month-to-month,99.97,2386.11,No,DSL,48,No,Cash,No,49.710625,4798.5599999999995
203,44,Female,Month-to-month,63.28,5167.43,No,DSL,39,No,UPI,No,132.49820512820514,2467.92
204,26,Male,Two year,69.31,1569.02,Yes,Fiber optic,6,Yes,Debit card,No,261.50333333333333,415.86
205,54,Female,One year,46.56,2491.41,Yes,DSL,30,No,Internet Banking,No,83.047,1396.8000000000002
206,50,Female,Two year,90.44,3939.76,Yes,No,18,No,Debit card,No,218.87555555555556,1627.92
207,68,Female,Month-to-month,100.28,3433.99,Yes,No,43,Yes,Debit card,No,79.86023255813953,4312.04
208,59,Male,Month-to-month,43.89,937.61,No,No,33,Yes,Internet Banking,Yes,28.412424242424244,1448.3700000000001
209,61,Female,Month-to-month,24.18,7512.06,Yes,DSL,53,No,UPI,No,141.73698113207547,1281.54
210,41,Female,Month-to-month,82.39,449.91,Yes,No,56,Yes,Debit card,No,8.034107142857144,4613.84
211,32,Male,One year,76.25,6022.97,No,Fiber optic,19,Yes,UPI,No,316.9984210526316,1448.75
212,49,Female,One year,60.21,664.24,No,No,69,Yes,UPI,Yes,9.626666666666667,4154.49
213,49,Male,Month-to-month,84.39,3791.64,Yes,DSL,26,No,Cash,No,145.8323076923077,2194.14
214,41,Male,One year,75.06,1485.75,No,No,29,No,Internet Banking,Yes,51.23275862068966,2176.7400000000002
215,58,Male,One year,45.06,1214.67,No,DSL,24,Yes,Cash,Yes,50.611250000000005,1081.44
216,69,Male,One year,59.77,1094.59,Yes,DSL,6,Yes,Credit card,Yes,182.43166666666664,358.62
217,66,Male,Month-to-month,62.81,3677.01,No,No,54,Yes,Cash,Yes,68.09277777777778,3391.7400000000002
218,66,Female,Two year,108.02,4172.33,Yes,Fiber optic,39,Yes,Debit card,No,106.98282051282051,4212.78
219,69,Male,Two year,116.09,1153.74,No,Fiber optic,4,No,Debit card,No,288.435,464.36
220,29,Male,Two year,109.3,7837.23,No,No,58,No,Debit card,No,135.12465517241378,6339.4
221,56,Male,Month-to-month,91.92,2136.35,No,DSL,48,No,Credit card,No,44.50729166666667,4412.16
222,19,Male,One year,78.5,3724.85,No,No,60,No,UPI,Yes,62.08083333333333,4710.0
223,20,Female,One year,88.93,1808.53,Yes,DSL,26,Yes,Debit card,Yes,69.55884615384615,2312.1800000000003
224,66,Male,Month-to-month,113.91,4001.99,No,DSL,40,No,Cash,No,100.04974999999999,4556.4
225,54,Female,Month-to-month,45.0,6072.53,Yes,DSL,56,Yes,UPI,No,108.4380357142857,2520.0
226,66,Male,Two year,73.51,4216.71,Yes,Fiber optic,39,Yes,Cash,No,108.12076923076923,2866.8900000000003
227,34,Female,Two year,88.96,2356.63,No,Fiber optic,39,Yes,Cash,No,60.42641025641026,3469.4399999999996
228,66,Male,Month-to-month,87.92,2062.33,No,No,48,Yes,Debit card,Yes,42.96520833333333,4220.16
229,19,Male,Two year,45.23,6095.58,Yes,Fiber optic,25,No,Cash,Yes,243.82319999999999,1130.75
230,19,Female,One year,78.67,1034.08,No,DSL,34,Yes,Credit card,No,30.41411764705882,2674.78
231,45,Male,Month-to-month,99.59,3022.74,No,DSL,21,Yes,UPI,No,143.94,2091.39
232,40,Female,Month-to-month,67.51,1296.71,Yes,No,25,Yes,Debit card,Yes,51.8684,1687.7500000000002
233,54,Male,One year,99.33,2138.01,No,DSL,22,Yes,Debit card,No,97.18227272727273,2185.2599999999998
234,49,Female,One year,55.99,1306.2,Yes,No,23,No,Cash,No,56.79130434782609,1287.77
235,50,Male,One year,113.88,7105.5,No,No,25,Yes,Cash,No,284.22,2847.0
236,18,Male,Two year,73.39,5882.04,No,DSL,26,No,Internet Banking,No,226.2323076923077,1908.14
237,36,Female,Month-to-month,79.59,4531.33,No,Fiber optic,30,Yes,Internet Banking,Yes,151.04433333333333,2387.7000000000003
238,19,Male,Two year,23.14,1872.96,No,DSL,38,No,Debit card,No,49.28842105263158,879.32
239,61,Male,One year,37.03,4130.79,No,DSL,34,Yes,Debit card,No,121.49382352941177,1259.02
240,43,Male,Two year,83.29,4214.58,No,No,15,Yes,Cash,No,280.972,1249.3500000000001
241,49,Male,One year,61.99,4764.19,Yes,Fiber optic,44,No,Credit card,Yes,108.27704545454544,2727.56
242,23,Male,Two year,70.82,574.67,Yes,No,10,No,Credit card,No,57.467,708.1999999999999
243,49,Male,Two year,26.3,7785.93,No,DSL,37,No,Cash,Yes,210.43054054054056,973.1
244,21,Female,One year,103.41,3776.97,No,No,7,Yes,Internet Banking,Yes,539.5671428571428,723.87
245,28,Female,Two year,98.45,7419.6,Yes,No,32,No,Internet Banking,No,231.8625,3150.4
246,34,Female,Month-to-month,38.54,177.48,Yes,DSL,11,No,Credit card,No,16.134545454545453,423.94
247,55,Male,Two year,83.43,2055.71,Yes,No,48,Yes,Debit card,No,42.82729166666667,4004.6400000000003
248,41,Female,Two year,101.83,921.57,No,DSL,68,No,Cash,No,13.5525,6924.44
249,22,Male,Month-to-month,84.09,6179.97,No,No,48,Yes,Debit card,No,128.74937500000001,4036.32
250,69,Male,One year,51.04,2628.99,No,Fiber optic,45,Yes,Internet Banking,No,58.422,2296.8
251,51,Male,Month-to-month,85.61,6739.89,Yes,DSL,33,No,Credit card,No,204.23909090909092,2825.13
252,23,Male,Two year,41.05,6675.84,Yes,Fiber optic,4,Yes,Debit card,No,1668.96,164.2
253,39,Female,One year,51.83,5375.58,No,No,47,Yes,Internet Banking,No,114.37404255319149,2436.0099999999998
254,28,Male,Two year,44.01,5359.68,Yes,Fiber optic,53,Yes,Internet Banking,No,101.12603773584907,2332.5299999999997
255,65,Female,Two year,75.69,5631.26,No,Fiber optic,31,Yes,Internet Banking,No,181.65354838709678,2346.39
256,33,Male,Month-to-month,30.82,5422.73,No,Fiber optic,31,No,Debit card,No,174.92677419354837,955.42
257,50,Female,Month-to-month,113.33,3156.58,Yes,No,27,No,UPI,No,116.91037037037037,3059.91
258,26,Female,One year,53.35,5494.34,No,DSL,48,Yes,Credit card,No,114.46541666666667,2560.8
259,23,Female,One year,41.9,7189.52,Yes,No,36,No,Internet Banking,No,199.7088888888889,1508.3999999999999
